Movie Title,Release Date,ID,Adult,Status,Hashtag,Homepage,Popularity,Video,Poster,Backdrop,Genres,Overview,Original Language
Mark Felt: The Man Who Brought Down the White House,2017-09-29,390061,False,Post Production,MarkFelt,http://markfeltmovie.com/,50.0624,YouTube c34BtMNwTzE,https://image.tmdb.org/t/p/original/ggwsRh4p75jLMuc6gY12f9VXxwl.jpg,https://image.tmdb.org/t/p/original/de77GoUjgMDq5X8CoO4OwBEc74g.jpg,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}, {""id"": 53, ""name"": ""Thriller""}]","The story of Mark Felt, who under the name ""Deep Throat"" helped journalists Bob Woodward and Carl Bernstein uncover the Watergate scandal in 1974.",en
'Til Death Do Us Part,2017-09-29,467192,False,Released,TilDeathDoUsPart,http://www.footage-films.com,40.032469,YouTube hXOQ1n0WCMY,https://image.tmdb.org/t/p/original/pfCAFkZV39l1TnNazAmmLgWu4c1.jpg,,"[{""id"": 53, ""name"": ""Thriller""}]","Michael and Madison Roland had planned to spend the rest of their lives together, until one day Michael's controlling ways turned their perfect marriage. With the help of her best friend, Madison decides to get away. After adopting a new identity, she meets Alex Stone and learns to love again. All is well, until Michael discovers Madison's whereabouts, and recreate the nightmare she once lived all over again.",en
Different Flowers,2017-09-29,442788,False,Released,DifferentFlowers,http://www.differentflowersmovie.com,34.093319,YouTube zbG5L3PQOyc,https://image.tmdb.org/t/p/original/yX0Y0c1XMe8WlnRU7BHcCgnm10h.jpg,,"[{""id"": 35, ""name"": ""Comedy""}]","Shelley Long returns to the big screen in a soaring debut from writer-director Morgan Dameron.  Uptight Millie Haven (Emma Bell) has always followed the rules, but when she has doubts before her big Kansas City wedding, her attitude-prone little sister Emma (Hope Lauren), the least likely of heroes, comes to the rescue. They embark on a spontaneous roadtrip to their grandmother’s farm where, with the help of Grandma Mildred (Shelley Long), they rediscover their bond. They meet a local hunk with a heart of gold, and a host of only-in- the-Midwest characters as they pick up the pieces of Millie’s life. Though the road is rocky, ultimately Millie finds herself in the middle of nowhere.  Millie’s journey is for anyone who’s ever wondered, what if? Different Flowers takes you on the road trip of a lifetime, full of growth, discovery, and above all, sisterhood.",en
Stopping Traffic: The Movement to End Sex Trafficking,2017-09-29,471939,False,Released,StoppingTraffic,http://stoppingtrafficfilm.com,32.612111,YouTube xxhVlXAiDU4,https://image.tmdb.org/t/p/original/eagIE0AXl0O5OvdZJTnuBeMTThw.jpg,,"[{""id"": 99, ""name"": ""Documentary""}, {""id"": 80, ""name"": ""Crime""}]","With the instant reach of social media and explosion in cyber porn, a child sex slave can be purchased online and delivered to a customer more quickly than a pizza. Stopping Traffic: The Movement to End Sex Trafficking starts the conversation on a taboo topic – with raw images of life on the streets, heart-pounding rescues and gut-wrenching, personal stories – ultimately offering a story of hope and empowerment, with the goal of engaging others in launching a movement to end modern-day slavery. With 27 million victims, human trafficking is the 2nd largest criminal enterprise in the world. Not just a back-alley enterprise in underdeveloped regions, it’s also prevalent in the U.S. and industrial nations. Stopping Traffic takes an unflinching, first-hand look at this shadowy underworld, telling the shocking story through the eyes of survivors, veteran activists, front-line rescue organizations and celebrities who support the cause, including Dolph Lundgren and Jeannie Mai.",en
My Little Pony: The Movie,2017-10-05,335360,False,Released,MyLittlePony,http://www.mylittlepony.movie/,29.998896,YouTube kIv_ConaZ1c,https://image.tmdb.org/t/p/original/15WbvKx7B7FiLZheK49Xc05oRIX.jpg,https://image.tmdb.org/t/p/original/t9QTd0V3rbv6W25QbHJuC6zbIo1.jpg,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}]","A new dark force threatens Ponyville, and the Mane 6 – Twilight Sparkle, Applejack, Rainbow Dash, Pinkie Pie, Fluttershy and Rarity – embark on an unforgettable journey beyond Equestria where they meet new friends and exciting challenges on a quest to use the magic of friendship and save their home.",en
Thor: Ragnarok,2017-10-25,284053,False,Post Production,ThorRagnarok,https://marvel.com/movies/movie/222/thor_ragnarok,26.65495,YouTube v7MGUNV8MxU,https://image.tmdb.org/t/p/original/avy7IR8UMlIIyE2BPCI4plW4Csc.jpg,https://image.tmdb.org/t/p/original/5wNUJs23rT5rTBacNyf5h83AynM.jpg,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 878, ""name"": ""Science Fiction""}]","Thor is imprisoned on the other side of the universe and finds himself in a race against time to get back to Asgard to stop Ragnarok, the destruction of his homeworld and the end of Asgardian civilization, at the hands of an all-powerful new threat, the ruthless Hela.",en
Star Wars: The Last Jedi,2017-12-13,181808,False,Post Production,TheLastJedi,http://www.starwars.com,15.884453,YouTube GQQMLE4FuIQ,https://image.tmdb.org/t/p/original/1539H2E75rOC9HUA2kSOhDE4d2A.jpg,https://image.tmdb.org/t/p/original/c4Dw37VZjBmObmJw9bmt8IDwMZH.jpg,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 878, ""name"": ""Science Fiction""}]","Having taken her first steps into a larger world in ""Star Wars: The Force Awakens"", Rey continues her epic journey with Finn, Poe and Luke Skywalker in the next chapter of the Star Wars saga.",en
Justice League,2017-11-15,141052,False,Post Production,JusticeLeague,http://www.justiceleaguethemovie.com,14.56439,YouTube gglkYMGRYlE,https://image.tmdb.org/t/p/original/9rtrRGeRnL0JKtu9IMBWsmlmmZz.jpg,https://image.tmdb.org/t/p/original/o5T8rZxoWSBMYwjsUFUqTt6uMQB.jpg,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 878, ""name"": ""Science Fiction""}]","Fueled by his restored faith in humanity and inspired by Superman's selfless act, Bruce Wayne and Diana Prince assemble a team of metahumans consisting of Barry Allen, Arthur Curry, and Victor Stone to face the catastrophic threat of Steppenwolf and the Parademons who are on the hunt for three Mother Boxes on Earth.",en
The Carmilla Movie,2017-10-26,421131,False,Post Production,CarmillaMovie,http://carmillamovie.com,11.605131,YouTube xYNMUXcF3P8,https://image.tmdb.org/t/p/original/qSJkhjUq8IpHBUJ9azQPxkblftV.jpg,,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 10749, ""name"": ""Romance""}]","It has been five years since Laura  and Carmilla vanquished the apocalypse and Carmilla became a bonafide mortal human. They have settled in to a cozy apartment in downtown Toronto; Laura continues to hone her journalism skills while Carmilla adjusts to a non-vampire lifestyle. Their domestic bliss is suddenly ruptured when Carmilla begins to show signs of “re-vamping” – from a fondness for bloody treats to accidental biting – while Laura has started having bizarre, ghostly dreams. The couple must now enlist their old friends from Silas University to uncover the unknown supernatural threat and save humanity – including Carmilla’s.",en
Daisy Winters,2017-10-06,476195,False,Released,DaisyWinters,https://daisywintersfilm.com,10.60388,YouTube pwxDGFVh_YE,https://image.tmdb.org/t/p/original/hSid5I9ai3XYzuRgmLPAhpw07bq.jpg,https://image.tmdb.org/t/p/original/65Y5wz1gmBwW4Ofa2fT2qqybYPU.jpg,"[{""id"": 18, ""name"": ""Drama""}]","An eleven year-old girl's unconventional yet deeply loving relationship with her mother is harshly broken. Along her journey, including her quest to discover her father, she learns how to embrace every moment with determination and unrelenting self-confidence.",en
"Pop, Lock 'n Roll",2017-09-29,467163,False,Released,PopLocknRoll,http://poplocknroll.com/,10.041752,YouTube 7Fx0HE7lwBE,https://image.tmdb.org/t/p/original/3LeDYpLczv0tU4omx1YVkycdX4H.jpg,https://image.tmdb.org/t/p/original/aPPCvUoUpJ1dVojnrx2NO8mPMhw.jpg,"[{""id"": 10402, ""name"": ""Music""}]","Loaded with a love story and set in the club scene in Cape Town, it’s a feel good rags to riches film about Raps, a gifted young dancer from the Cape Flats who thinks all he needs is fame and money. However, it all gets complicated when he falls in love with the gorgeous young wife of the gangster-cum-producer who’s making his career happen.",en
Breathe,2017-10-13,407445,False,Released,Breathe,http://www.bleeckerstreetmedia.com/breathe,9.543906,YouTube dqpfdS0SkZs,https://image.tmdb.org/t/p/original/8mnShwZHbQVT2NcF1ImhzTYLVaF.jpg,https://image.tmdb.org/t/p/original/quVfDYktBYQfojgZ3E9pYrclGse.jpg,"[{""id"": 18, ""name"": ""Drama""}]","Based on the true story of Robin, a handsome, brilliant and adventurous man whose life takes a dramatic turn when polio leaves him paralyzed.",en
The Snowman,2017-10-12,372343,False,Released,Snowman,http://www.thesnowmanmovie.com/,9.336548,YouTube c44kam_8N3I,https://image.tmdb.org/t/p/original/bQHgpTVsAWjNQWS0frsl7DlzLX1.jpg,https://image.tmdb.org/t/p/original/tAg6KUBANIVbYUpTHy5oKibhhw3.jpg,"[{""id"": 9648, ""name"": ""Mystery""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 27, ""name"": ""Horror""}, {""id"": 18, ""name"": ""Drama""}]",Detective Harry Hole investigates the disappearance of a woman whose pink scarf is found wrapped around an ominous looking snowman.,en
The Disaster Artist,2017-12-01,371638,False,Released,DisasterArist,https://a24films.com/films/the-disaster-artist,6.711233,YouTube cMKX2tE5Luk,https://image.tmdb.org/t/p/original/uCH6FOFsDW6pfvbbmIIswuvuNtM.jpg,https://image.tmdb.org/t/p/original/bAI7aPHQcvSZXvt7L11kMJdS0Gm.jpg,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}]","An aspiring actor in Hollywood meets an enigmatic stranger by the name of Tommy Wiseau, the meeting leads the actor down a path nobody could have predicted; creating the worst movie ever made.",en
Jumanji: Welcome to the Jungle,2017-12-20,353486,False,Post Production,Jumanji,http://jumanjimovie.com,5.945913,YouTube wUwQbrfDqx0,https://image.tmdb.org/t/p/original/idFEJScwWfQa4lrI76L1zn1gdM3.jpg,https://image.tmdb.org/t/p/original/yqMXhCCyZhqvnMWNRYkDuphHmGX.jpg,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 10751, ""name"": ""Family""}]","The tables are turned as four teenagers are sucked into Jumanji's world - pitted against rhinos, black mambas and an endless variety of jungle traps and puzzles. To survive, they'll play as characters from the game.",en
Call Me by Your Name,2017-10-27,398818,False,Released,CallMebyYourName,http://sonyclassics.com/callmebyyourname/,4.82427,YouTube Z9AYPxH5NTM,https://image.tmdb.org/t/p/original/tcNniniS4rfqrLH0oORikJfnIwY.jpg,https://image.tmdb.org/t/p/original/8ndqvvwDVe9oDUQF1Jt6NCjAn7z.jpg,"[{""id"": 10749, ""name"": ""Romance""}, {""id"": 18, ""name"": ""Drama""}]","Elio Perlman is spending the summer with his family at their vacation home in Lombardy, Italy. When his father hires a handsome doctoral student, the curious 17-year-old finds himself developing a growing attraction to the young man.",en
Only the Brave,2017-10-19,395991,False,In Production,OnlyTheBrave,http://www.onlythebrave-movie.com,4.773828,YouTube DSHk_BHQxp0,https://image.tmdb.org/t/p/original/lC7WdUNLOJI3sllaDGNdFy2GT8g.jpg,https://image.tmdb.org/t/p/original/oYuDWf2a42y7qu4XBdMV9Lioyk0.jpg,"[{""id"": 18, ""name"": ""Drama""}]",Members of the Granite Mountain Hotshots battle deadly wildfires to save an Arizona town.,en
Last Flag Flying,2017-11-17,419709,False,Post Production,LastFlagFlying,http://www.lastflagflying.com/,4.214152,YouTube VmS4lTZ34uk,https://image.tmdb.org/t/p/original/pizynKUzJ9YucGff1O1MYisY1WM.jpg,https://image.tmdb.org/t/p/original/9vnZXy0bSyI1XMHsX5HwURx2bZ6.jpg,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 35, ""name"": ""Comedy""}]","In 2003, 30 years after they served together in the Vietnam War, former Navy Corps medic Larry “Doc” Shepherd (Steve Carell) re-unites with Former Marines Sal Nealon (Bryan Cranston) and Reverend Richard Mueller (Laurence Fishburne) on a different type of mission: to bury Doc’s son, a young Marine killed in the Iraq War. Doc decides to forgo burial at Arlington Cemetery and, with the help of his old buddies, takes the casket on a bittersweet trip up the East Coast to his home in suburban New Hampshire. Along the way, Doc, Sal and Mueller reminisce and come to terms with shared memories of the war that continues to shape their lives.",en
A Bad Moms Christmas,2017-11-03,431530,False,Post Production,BadMomsChristmas,http://badmomsxmas.com/,3.977942,YouTube geby7Ene7dY,https://image.tmdb.org/t/p/original/tMJ3XDIAZ0iQKczIViiyRnL0I3S.jpg,https://image.tmdb.org/t/p/original/ciEBcL00Je0zCcU233K0oU6Hhpd.jpg,"[{""id"": 35, ""name"": ""Comedy""}]",The titular under-appreciated and over-burdened friends cope with the stresses of the most wonderful time of year as their own mothers visit for the holidays.,en
Darkest Hour,2017-11-22,399404,False,In Production,DarkestHour,http://www.focusfeatures.com/darkesthour/,3.027009,YouTube eFFj2gS9UWs,https://image.tmdb.org/t/p/original/67fPL6ZaiOeM4hYqpxqV9Py8psJ.jpg,https://image.tmdb.org/t/p/original/mBd56RoS8HiiLT1u0ZZAWFWSU3g.jpg,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}, {""id"": 10752, ""name"": ""War""}]","A thrilling and inspiring true story begins on the eve of World War II as, within days of becoming Prime Minister of Great Britain, Winston Churchill must face one of his most turbulent and defining trials: exploring a negotiated peace treaty with Nazi Germany, or standing firm to fight for the ideals, liberty and freedom of a nation. As the unstoppable Nazi forces roll across Western Europe and the threat of invasion is imminent, and with an unprepared public, a skeptical King, and his own party plotting against him, Churchill must withstand his darkest hour, rally a nation, and attempt to change the course of world history.",en
Boo 2! A Madea Halloween,2017-10-20,459202,False,Post Production,Boo2,http://www.boo.movie/,3.022737,YouTube eA5MHLL5dwk,https://image.tmdb.org/t/p/original/5nvP4etJ8ecQv8qZM08dK4BAzdK.jpg,https://image.tmdb.org/t/p/original/78kN1a1AHxAPEh7hQhNjDQhLZ9W.jpg,"[{""id"": 35, ""name"": ""Comedy""}]","Madea and the gang encounter monsters, goblins and boogeymen at a haunted campground.",en
Wonder,2017-11-16,406997,False,Post Production,Wonder,http://www.wonder.movie,2.741871,YouTube ngiK1gQKgK8,https://image.tmdb.org/t/p/original/iWjUKwPJ91nFoltlZzr8s4Ij5da.jpg,https://image.tmdb.org/t/p/original/AczzhsH7SzFzM7qRctAZBNId3s.jpg,"[{""id"": 18, ""name"": ""Drama""}]","Based on the New York Times bestseller, Wonder tells the inspiring and heartwarming story of August Pullman. Born with facial differences that, up until now, have prevented him from going to a mainstream school, Auggie becomes the most unlikely of heroes when he enters the local fifth grade. As his family, his new classmates, and the larger community all struggle to find their compassion and acceptance, Auggie's extraordinary journey will unite them all and prove you can't blend in when you were born to stand out.",en
The Playground,2017-10-12,468326,False,Post Production,ThePlaygroundMovie,http://theplaygroundfilm.com,2.739306,YouTube fXmJ9wsOw1Y,https://image.tmdb.org/t/p/original/lJuCWn9LovH4VsGMfLF8xUKflFq.jpg,,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 53, ""name"": ""Thriller""}]",A fable of five vastly separate inner-city lives who struggle against their limitations in an interlocking tale assembled by a dark orchestrator.,en
LBJ,2017-11-10,353575,False,Released,LBJMovie,http://www.lbjfilm.com,2.628769,YouTube xrnEp8WLH0g,https://image.tmdb.org/t/p/original/o0ofwOnVHbcR8WhZtB2y7UkM1Qm.jpg,https://image.tmdb.org/t/p/original/88nJDIsm9H9wvxrQLbdXBxsgXuZ.jpg,"[{""id"": 18, ""name"": ""Drama""}]",The story of U.S. President Lyndon Baines Johnson from his young days in West Texas to the White House.,en
Same Kind of Different as Me,2017-10-20,300687,False,Post Production,SameKindMovie,http://www.samekindofdifferentasmemovie.com/,2.390387,YouTube v8MWxtpjVp8,https://image.tmdb.org/t/p/original/iMhmxywv8dGxqVApiV3HaG9UEoe.jpg,,"[{""id"": 18, ""name"": ""Drama""}]","International art dealer Ron Hall must befriend a dangerous homeless man in order to save his struggling marriage to his wife, a woman whose dreams will lead all three of them on the journey of their lives.",en
Sly Cooper,2017-12-31,252983,False,In Production,SlyCooperMovie,http://www.slycoopermovie.com,2.190862,YouTube wT3SXLGDXN4,https://image.tmdb.org/t/p/original/rw36cctUD5kPCNCxFYsQ7F205B8.jpg,https://image.tmdb.org/t/p/original/kJpZ83ujx2vqIYw4zoXCJG6cApa.jpg,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 28, ""name"": ""Action""}, {""id"": 10751, ""name"": ""Family""}]","Sly Cooper is a kinetic and comedic heist film that tells the story of Sly Cooper, an orphaned raccoon thief, along with his childhood friends and partners in crime, Bentley Turtle and Murray Hippo. In the film, Sly learns of his birth family's secret legacy; that he comes from a long line of talented and international thieves. Endowed with this knowledge, Sly and his friends are catapulted into a global adventure as they race to reassemble pieces of an ancient book holding The Cooper Clan's family secrets before it can fall into the hands of Clockwerk -- an evil Russian metallic owl bent on ending the Cooper family line. From romantic Parisian backdrops to the lush mountains of China, gritty film noir meets bright, colorful graphic novels in this origin story of the world's greatest thief-turned-hero.",en
The Gateway,2017-10-11,472744,False,Released,TheGatewayMovie,http://thegatewaymovie.com/,2.011685,YouTube gInFXtRvwlM,https://image.tmdb.org/t/p/original/3Gp2lj5jnP08Sie6j0gNL3zfiSE.jpg,https://image.tmdb.org/t/p/original/gP8zfI4SEyzg5UQiFQNxikpoUm1.jpg,"[{""id"": 878, ""name"": ""Science Fiction""}]","A particle physicist grieving over the loss of her husband in a car crash uses a revolutionary machine to bring him back, with dire consequences for her family.",en
Laddie,2017-10-20,322525,False,Post Production,Laddie,http://www.laddiemovie.com,1.932564,YouTube WMlZlzkTn9w,https://image.tmdb.org/t/p/original/mBLhvwcILzeyCXmRX30Eogkz7F3.jpg,,"[{""id"": 99, ""name"": ""Documentary""}]","Profile of the producer and former studio head of 20th Century Fox in the 1970s, Alan Ladd Jr.",en
The Star,2017-11-10,355547,False,In Production,TheStarMovie,http://www.sonypicturesanimation.com/films.php?s=thestar,1.860484,YouTube tVgQuZf5o1M,https://image.tmdb.org/t/p/original/tEbDvivUfsCupngKIfMJJ725eAD.jpg,https://image.tmdb.org/t/p/original/vpGmCFy8H5smjDoCa8nvEfMuIXG.jpg,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 12, ""name"": ""Adventure""}]","A small but brave donkey and his animal friends become the unsung heroes of the greatest story ever told, the first Christmas.",en
Novitiate,2017-10-27,411976,False,Released,Novitiate,http://sonyclassics.com/novitiate/,1.323686,YouTube 8kKexutLfE0,https://image.tmdb.org/t/p/original/eZ9BbRy4YGFM1yvx6ZDO7qzILJ.jpg,https://image.tmdb.org/t/p/original/nKUM7nl7Ux00tVyfZZaMJ8iS4XH.jpg,"[{""id"": 18, ""name"": ""Drama""}]","In the early 1960s, during the Vatican II era, a young woman training to become a nun struggles with issues of faith, sexuality and the changing church.",en
Islam and the Future of Tolerance,2017-10-22,443128,False,Released,IslamMovie,http://www.islamandthefutureoftolerance.com/,1.150757,YouTube sbjt4Vg8Q0I,https://image.tmdb.org/t/p/original/ifSRuDea6B1rrrJoDisT3CUG015.jpg,,"[{""id"": 99, ""name"": ""Documentary""}]","In the thick of a controversial war of ideas, two enlightening figures, Sam Harris, an atheist and a critic of religion, and Maajid Nawaz, an Islamist-turned-liberal activist, partake in an engaging dialogue on the state of Islam, its potential reform, the militant ideology of Islamism, and where all this lays in a secular world.",en
Forever My Girl,2017-10-27,417261,False,Post Production,ForeverMyGirl,http://www.forevermygirlthemovie.com/home/,1.035414,YouTube IpjApG307D8,https://image.tmdb.org/t/p/original/hcushpAgo51nTpBAuTygLxiJ80h.jpg,,"[{""id"": 10749, ""name"": ""Romance""}]",After being gone for a decade a country star returns home to the love he left behind.,en
Origin Story,2017-12-31,358395,False,Planned,OriginStory,http://www.originstorydoc.com/,0.981187,YouTube pWdH8CquCRY,https://image.tmdb.org/t/p/original/qSK2Lf0BdQEZbgkmEkncaff7Ux6.jpg,,"[{""id"": 99, ""name"": ""Documentary""}]","When Kulap Vilaysack was 14, she took her father's side in an argument and her mother replied, ""Why are you defending him? He's not your real dad."" Twenty years later, she's finally ready to learn what that means. ORIGIN STORY is a feature-length, international quest with stops in Los Angeles, Minnesota, and Laos to meet the biological father she never knew. On the road, unforeseen revelations strike as hilarious or heartbreaking, rarely in between. An avid comic book reader with a vigilante character named after her in the DC Comics universe, she must summon the courage of Katharsis, because each question is another step out on a limb. ORIGIN STORY is a deeply personal but universally relevant tale of immigration, conflict, addiction, and personal responsibility. Interviewees in the film include extended family, husband Scott Aukerman, and close friends, like Sarah Silverman, Casey Wilson, June Diane Raphael and Howard Kremer.",en
For Her...,2017-12-25,467946,False,Released,ForHerFilm,http://viralfilms.uk,0.852253,YouTube 6g_3SPsJAuU,https://image.tmdb.org/t/p/original/xqzjUEpL0uS3x60EKnsPudZJccb.jpg,https://image.tmdb.org/t/p/original/sthhTSgvvS56IEzefQJuhRfk7KJ.jpg,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 27, ""name"": ""Horror""}]","Jonathan and Elizabeth are deeply in love. But their relationship is tested when Elizabeth becomes afflicted by a devastating illness. Follow Jonathan's emotional journey as he struggles to deal with inevitable tragedy, and discover what lengths he's willing to go to, For Her.",en
Pickings,2017-12-01,457312,False,Released,Pickings,http://www.PickingsFilm.com,0.821064,YouTube W8Te-PUwH-s,https://image.tmdb.org/t/p/original/dmTg33fgphzcuQRqa0CIrWgxVg6.jpg,,"[{""id"": 28, ""name"": ""Action""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 53, ""name"": ""Thriller""}]","When a short-tempered mobster and his gang of thugs try to shake down a neighborhood bar, they're soon confronted with the wrath of its owner - a mysterious southern mother with a dangerous past.",en